STAGE_NUMBER,AT_KM,CITY,COUNTRY,LATITUDE,LONGITUDE
463,77,Newbiggin,ENG,54.26929,-2.00449
464,68.5,Keighley,ENG,53.867,-1.911
465,108,Epping Forest,ENG,51.66,0.05
466,92,Cassel,FRA,50.8006,2.4883
467,97,Templeuve,FRA,50.5272,3.1758
468,119,Pinon,FRA,49.4883,3.4464
469,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
470,100,Dinozé,FRA,48.1411,6.4772
471,105,Linthal,FRA,47.9475,7.1311
472,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
473,89,Charcier,FRA,46.6281,5.7514
474,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
475,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
476,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
477,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
478,123.5,Saint-Girons,FRA,42.9858,1.1467
479,31,Saint-Béat,FRA,42.915,0.6933
480,61.5,Trébons,FRA,43.1022,0.1219
481,130.5,Tonneins,FRA,44.3906,0.3092
483,91,Paris Champs-Élysées,FRA,48.8567,2.3508
484,77,Newbiggin,ENG,54.26929,-2.00449
485,68.5,Keighley,ENG,53.867,-1.911
486,108,Epping Forest,ENG,51.66,0.05
487,92,Cassel,FRA,50.8006,2.4883
488,97,Templeuve,FRA,50.5272,3.1758
489,119,Pinon,FRA,49.4883,3.4464
490,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
491,100,Dinozé,FRA,48.1411,6.4772
492,105,Linthal,FRA,47.9475,7.1311
493,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
494,89,Charcier,FRA,46.6281,5.7514
495,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
496,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
497,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
498,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
499,123.5,Saint-Girons,FRA,42.9858,1.1467
500,31,Saint-Béat,FRA,42.915,0.6933
501,61.5,Trébons,FRA,43.1022,0.1219
502,130.5,Tonneins,FRA,44.3906,0.3092
504,91,Paris Champs-Élysées,FRA,48.8567,2.3508
505,77,Newbiggin,ENG,54.26929,-2.00449
506,68.5,Keighley,ENG,53.867,-1.911
507,108,Epping Forest,ENG,51.66,0.05
508,92,Cassel,FRA,50.8006,2.4883
509,97,Templeuve,FRA,50.5272,3.1758
510,119,Pinon,FRA,49.4883,3.4464
511,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
512,100,Dinozé,FRA,48.1411,6.4772
513,105,Linthal,FRA,47.9475,7.1311
514,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
515,89,Charcier,FRA,46.6281,5.7514
516,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
517,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
518,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
519,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
520,123.5,Saint-Girons,FRA,42.9858,1.1467
521,31,Saint-Béat,FRA,42.915,0.6933
522,61.5,Trébons,FRA,43.1022,0.1219
523,130.5,Tonneins,FRA,44.3906,0.3092
525,91,Paris Champs-Élysées,FRA,48.8567,2.3508
526,77,Newbiggin,ENG,54.26929,-2.00449
527,68.5,Keighley,ENG,53.867,-1.911
528,108,Epping Forest,ENG,51.66,0.05
529,92,Cassel,FRA,50.8006,2.4883
530,97,Templeuve,FRA,50.5272,3.1758
531,119,Pinon,FRA,49.4883,3.4464
532,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
533,100,Dinozé,FRA,48.1411,6.4772
534,105,Linthal,FRA,47.9475,7.1311
535,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
536,89,Charcier,FRA,46.6281,5.7514
537,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
538,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
539,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
540,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
541,123.5,Saint-Girons,FRA,42.9858,1.1467
542,31,Saint-Béat,FRA,42.915,0.6933
543,61.5,Trébons,FRA,43.1022,0.1219
544,130.5,Tonneins,FRA,44.3906,0.3092
546,91,Paris Champs-Élysées,FRA,48.8567,2.3508
547,77,Newbiggin,ENG,54.26929,-2.00449
548,68.5,Keighley,ENG,53.867,-1.911
549,108,Epping Forest,ENG,51.66,0.05
550,92,Cassel,FRA,50.8006,2.4883
551,97,Templeuve,FRA,50.5272,3.1758
552,119,Pinon,FRA,49.4883,3.4464
553,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
554,100,Dinozé,FRA,48.1411,6.4772
555,105,Linthal,FRA,47.9475,7.1311
556,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
557,89,Charcier,FRA,46.6281,5.7514
558,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
559,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
560,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
561,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
562,123.5,Saint-Girons,FRA,42.9858,1.1467
563,31,Saint-Béat,FRA,42.915,0.6933
564,61.5,Trébons,FRA,43.1022,0.1219
565,130.5,Tonneins,FRA,44.3906,0.3092
567,91,Paris Champs-Élysées,FRA,48.8567,2.3508
568,77,Newbiggin,ENG,54.26929,-2.00449
569,68.5,Keighley,ENG,53.867,-1.911
570,108,Epping Forest,ENG,51.66,0.05
571,92,Cassel,FRA,50.8006,2.4883
572,97,Templeuve,FRA,50.5272,3.1758
573,119,Pinon,FRA,49.4883,3.4464
574,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
575,100,Dinozé,FRA,48.1411,6.4772
576,105,Linthal,FRA,47.9475,7.1311
577,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
578,89,Charcier,FRA,46.6281,5.7514
579,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
580,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
581,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
582,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
583,123.5,Saint-Girons,FRA,42.9858,1.1467
584,31,Saint-Béat,FRA,42.915,0.6933
585,61.5,Trébons,FRA,43.1022,0.1219
586,130.5,Tonneins,FRA,44.3906,0.3092
588,91,Paris Champs-Élysées,FRA,48.8567,2.3508
589,77,Newbiggin,ENG,54.26929,-2.00449
590,68.5,Keighley,ENG,53.867,-1.911
591,108,Epping Forest,ENG,51.66,0.05
592,92,Cassel,FRA,50.8006,2.4883
593,97,Templeuve,FRA,50.5272,3.1758
594,119,Pinon,FRA,49.4883,3.4464
595,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
596,100,Dinozé,FRA,48.1411,6.4772
597,105,Linthal,FRA,47.9475,7.1311
598,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
599,89,Charcier,FRA,46.6281,5.7514
600,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
601,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
602,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
603,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
604,123.5,Saint-Girons,FRA,42.9858,1.1467
605,31,Saint-Béat,FRA,42.915,0.6933
606,61.5,Trébons,FRA,43.1022,0.1219
607,130.5,Tonneins,FRA,44.3906,0.3092
609,91,Paris Champs-Élysées,FRA,48.8567,2.3508
610,77,Newbiggin,ENG,54.26929,-2.00449
611,68.5,Keighley,ENG,53.867,-1.911
612,108,Epping Forest,ENG,51.66,0.05
613,92,Cassel,FRA,50.8006,2.4883
614,97,Templeuve,FRA,50.5272,3.1758
615,119,Pinon,FRA,49.4883,3.4464
616,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
617,100,Dinozé,FRA,48.1411,6.4772
618,105,Linthal,FRA,47.9475,7.1311
619,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
620,89,Charcier,FRA,46.6281,5.7514
621,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
622,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
623,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
624,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
625,123.5,Saint-Girons,FRA,42.9858,1.1467
626,31,Saint-Béat,FRA,42.915,0.6933
627,61.5,Trébons,FRA,43.1022,0.1219
628,130.5,Tonneins,FRA,44.3906,0.3092
630,91,Paris Champs-Élysées,FRA,48.8567,2.3508
631,77,Newbiggin,ENG,54.26929,-2.00449
632,68.5,Keighley,ENG,53.867,-1.911
633,108,Epping Forest,ENG,51.66,0.05
634,92,Cassel,FRA,50.8006,2.4883
635,97,Templeuve,FRA,50.5272,3.1758
636,119,Pinon,FRA,49.4883,3.4464
637,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
638,100,Dinozé,FRA,48.1411,6.4772
639,105,Linthal,FRA,47.9475,7.1311
640,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
641,89,Charcier,FRA,46.6281,5.7514
642,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
643,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
644,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
645,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
646,123.5,Saint-Girons,FRA,42.9858,1.1467
647,31,Saint-Béat,FRA,42.915,0.6933
648,61.5,Trébons,FRA,43.1022,0.1219
649,130.5,Tonneins,FRA,44.3906,0.3092
651,91,Paris Champs-Élysées,FRA,48.8567,2.3508
652,77,Newbiggin,ENG,54.26929,-2.00449
653,68.5,Keighley,ENG,53.867,-1.911
654,108,Epping Forest,ENG,51.66,0.05
655,92,Cassel,FRA,50.8006,2.4883
656,97,Templeuve,FRA,50.5272,3.1758
657,119,Pinon,FRA,49.4883,3.4464
658,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
659,100,Dinozé,FRA,48.1411,6.4772
660,105,Linthal,FRA,47.9475,7.1311
661,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
662,89,Charcier,FRA,46.6281,5.7514
